Year,Region,Average Median Sale Price,Average Median Sale to List Ratio
2008,"Spokane, WA",168996.46875,
2008,"Springfield, IL",,
2008,"Springfield, MA",181635.20833333334,
2008,"Springfield, MO",117413.375,
2008,"St. Louis, MO",138100.6875,
2008,"Stockton, CA",215190.44791666666,
2008,"Tallahassee, FL",162577.08333333334,
2008,"Tampa, FL",156263.36458333334,
2008,"Toledo, OH",92140.60416666667,
2008,"Trenton, NJ",245296.10416666666,
2008,"Tucson, AZ",195960.90526315788,
2008,"Tulsa, OK",114773.91666666667,
2008,United States,173296.55208333334,
2008,"Urban Honolulu, HI",473004.1052631579,
2008,"Virginia Beach, VA",213598.66666666666,
2008,"Visalia, CA",172980.52083333334,
2008,"Washington, DC",316787.2395833333,
2008,"Wilmington, NC",,
2008,"Winston, NC",124151.13541666667,
2008,"Worcester, MA",210121.45833333334,
2008,"York, PA",153079.9375,
2008,"Youngstown, OH",72049.3125,
2009,"Akron, OH",85042.50961538461,
2009,"Albany, NY",167756.29807692306,
2009,"Albuquerque, NM",175665.03846153847,
2009,"Allentown, PA",171721.15384615384,
2009,"Asheville, NC",179259.98076923078,
2009,"Atlanta, GA",125405.0,
2009,"Augusta, GA",109427.61538461539,
2009,"Austin, TX",182638.03846153847,
2009,"Bakersfield, CA",124839.29807692308,
2009,"Baltimore, MD",226942.39423076922,
2009,"Barnstable Town, MA",298183.5,
2009,"Baton Rouge, LA",159208.86538461538,
2009,"Bend, OR",,
2009,"Birmingham, AL",136176.8076923077,
2009,"Boise City, ID",154926.15384615384,
2009,"Boston, MA",298601.54807692306,
2009,"Boulder, CO",294441.6346153846,
2009,"Bremerton, WA",244680.02040816325,
2009,"Bridgeport, CT",386422.01923076925,
2009,"Buffalo, NY",107197.625,
2009,"Canton, OH",79192.12745098039,
2009,"Cape Coral, FL",90113.63461538461,
2009,"Cedar Rapids, IA",124584.61538461539,
2009,"Charleston, SC",188676.35576923078,
2009,"Charlotte, NC",143169.04807692306,
2009,"Chattanooga, TN",115695.93069306931,
2009,"Chicago, IL",189798.61538461538,
2009,"Cincinnati, OH",118312.52884615384,
2009,"Clarksville, TN",117556.38461538461,
2009,"Cleveland, OH",99928.32692307692,
2009,"Colorado Springs, CO",177993.4423076923,
2009,"Columbia, MO",,
2009,"Columbia, SC",125585.04807692308,
2009,"Columbus, OH",121453.73076923077,
2009,"Concord, NH",,
2009,"Corpus Christi, TX",128498.3786407767,
2009,"Crestview, FL",202228.91346153847,
2009,"Dallas, TX",143012.03846153847,
2009,"Daphne, AL",,
2009,"Davenport, IA",105616.92307692308,
2009,"Dayton, OH",97647.38461538461,
2009,"Deltona, FL",124991.45192307692,
2009,"Denver, CO",195331.98076923078,
2009,"Des Moines, IA",133050.02884615384,
2009,"Detroit, MI",71563.5,
2009,"Duluth, MN",111440.01923076923,
2009,"Durham, NC",170074.17307692306,
2009,"El Paso, TX",129761.44230769231,
2009,"Eugene, OR",202340.17307692306,
2009,"Fayetteville, AR",122413.16346153847,
2009,"Fayetteville, NC",124258.20192307692,
2009,"Flint, MI",62756.58653846154,
2009,"Fort Collins, CO",209850.8076923077,
2009,"Fresno, CA",146913.50961538462,
2009,"Grand Rapids, MI",91026.38461538461,
2009,"Greeley, CO",157084.90384615384,
2009,"Greensboro, NC",122156.05769230769,
2009,"Greenville, SC",120347.48076923077,
2009,"Harrisburg, PA",149494.0576923077,
2009,"Hartford, CT",214514.53846153847,
2009,"Hickory, NC",107853.80769230769,
2009,"Hilton Head Island, SC",,
2009,"Houston, TX",146156.875,
2009,"Huntsville, AL",,
2009,"Indianapolis, IN",114874.32692307692,
2009,"Jacksonville, FL",152846.5,
2009,"Jacksonville, NC",,
2009,"Kansas City, MO",139544.75,
2009,"Killeen, TX",110102.33653846153,
2009,"Knoxville, TN",125413.53846153847,
2009,"Lake Havasu City, AZ",,
2009,"Lakeland, FL",103749.72115384616,
2009,"Lancaster, PA",166006.34,
2009,"Lansing, MI",76921.52884615384,
2009,"Las Vegas, NV",138623.33980582524,
2009,"Lexington, KY",137364.29411764705,
2009,"Lincoln, NE",,
2009,"Little Rock, AR",137596.1923076923,
2009,"Los Angeles, CA",349503.03846153844,
2009,"Louisville, KY",123910.10576923077,
2009,"Lubbock, TX",112454.28846153847,
2009,"Madison, WI",190786.27450980392,
2009,"Memphis, TN",115439.25961538461,
2009,"Miami, FL",166633.36538461538,
2009,"Milwaukee, WI",167830.14423076922,
2009,"Minneapolis, MN",178257.57692307694,
2009,"Modesto, CA",140685.17307692306,
2009,"Myrtle Beach, SC",155535.15384615384,
2009,"Naples, FL",,
2009,"Nashville, TN",143260.15384615384,
2009,"New Haven, CT",200123.46153846153,
2009,"New Orleans, LA",,
2009,"New York, NY",352754.46601941745,
2009,"North Port, FL",151013.5,
2009,"Ogden, UT",178199.77884615384,
2009,"Oklahoma City, OK",108623.75,
2009,"Omaha, NE",126331.22115384616,
2009,"Orlando, FL",139206.22115384616,
